"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate	Female Population	Fertility Rate	Average Age of Mother (years)	Average OE Gestational Age (weeks)	Average Birth Weight (grams)	Average Pre-pregnancy BMI	Average Number of Prenatal Visits
	"Benton County, AR"	"05007"	3519	279141	12.61	57242	61.48	28.42	38.33	3290.77	27.34	11.34
	"Faulkner County, AR"	"05045"	1513	126007	12.01	29261	51.71	27.63	38.19	3273.14	28.55	11.55
	"Pulaski County, AR"	"05119"	5183	391911	13.22	79933	64.84	28.14	38.03	3158.19	28.45	10.50
	"Saline County, AR"	"05125"	1372	122437	11.21	23273	58.95	28.12	38.20	3272.10	28.42	11.18
	"Sebastian County, AR"	"05131"	1670	127827	13.06	24623	67.82	27.29	38.27	3223.10	28.74	9.36
	"Washington County, AR"	"05143"	3174	239187	13.27	54684	58.04	28.08	38.27	3260.82	27.34	10.99
	"Unidentified Counties, AR"	"05999"	20133	1731294	11.63	309303	65.09	26.28	38.17	3212.77	28.67	10.42
	"Alameda County, CA"	"06001"	18212	1671329	10.90	361229	50.42	31.71	38.64	3272.35	26.09	10.71
	"Butte County, CA"	"06007"	2154	219186	9.83	45412	47.43	29.17	38.76	3347.49	27.63	10.85
	"Contra Costa County, CA"	"06013"	11729	1153526	10.17	220853	53.11	31.17	38.53	3297.63	27.10	11.84
	"El Dorado County, CA"	"06017"	1524	192843	7.90	30588	49.82	31.03	38.81	3328.13	25.89	11.01
	"Fresno County, CA"	"06019"	14057	999101	14.07	207815	67.64	28.67	38.41	3256.31	28.49	12.58
	"Humboldt County, CA"	"06023"	1417	135558	10.45	28044	50.53	29.36	38.88	3384.57	27.29	12.75
	"Imperial County, CA"	"06025"	2533	181215	13.98	34165	74.14	28.12	38.52	3294.93	28.30	9.17
	"Kern County, CA"	"06029"	12765	900202	14.18	182069	70.11	27.98	38.48	3266.70	28.41	11.57
	"Kings County, CA"	"06031"	2115	152940	13.83	29046	72.82	27.82	38.53	3316.72	28.83	12.93
	"Los Angeles County, CA"	"06037"	107231	10039107	10.68	2126476	50.43	30.55	38.52	3257.43	26.71	12.16
	"Madera County, CA"	"06039"	2045	157327	13.00	33225	61.55	28.27	38.63	3319.80	28.69	11.34
	"Marin County, CA"	"06041"	2071	258826	8.00	38501	53.79	33.29	38.77	3356.72	24.79	10.68
	"Merced County, CA"	"06047"	3806	277680	13.71	57982	65.64	28.33	38.49	3307.15	29.44	11.03
	"Monterey County, CA"	"06053"	5846	434061	13.47	85371	68.48	29.05	38.66	3322.85	28.23	12.40
	"Napa County, CA"	"06055"	1279	137744	9.29	25186	50.78	30.74	38.77	3357.57	27.38	12.53
	"Orange County, CA"	"06059"	35052	3175692	11.04	630533	55.59	31.17	38.57	3280.46	25.47	12.53
	"Placer County, CA"	"06061"	3658	398329	9.18	69849	52.37	30.94	38.71	3375.45	26.39	12.21
	"Riverside County, CA"	"06065"	28026	2470546	11.34	496568	56.44	29.19	38.50	3284.63	27.54	11.45
	"Sacramento County, CA"	"06067"	19089	1552058	12.30	321210	59.43	29.83	38.62	3317.41	27.50	11.46
	"San Bernardino County, CA"	"06071"	28656	2180085	13.14	458131	62.55	28.91	38.41	3239.16	27.68	11.34
	"San Diego County, CA"	"06073"	38540	3338330	11.54	691150	55.76	30.42	38.61	3301.97	26.25	11.73
	"San Francisco County, CA"	"06075"	8438	881549	9.57	204690	41.22	33.36	38.70	3261.63	24.21	10.62
	"San Joaquin County, CA"	"06077"	10009	762148	13.13	154352	64.85	28.92	38.51	3282.39	28.33	13.10
	"San Luis Obispo County, CA"	"06079"	2447	283111	8.64	53720	45.55	30.25	38.62	3331.56	26.37	13.27
	"San Mateo County, CA"	"06081"	8206	766573	10.70	149506	54.89	32.53	38.61	3276.23	25.29	11.44
	"Santa Barbara County, CA"	"06083"	5537	446499	12.40	95052	58.25	29.37	38.58	3299.43	27.09	13.15
	"Santa Clara County, CA"	"06085"	21184	1927852	10.99	391011	54.18	31.80	38.58	3247.56	25.53	12.42
	"Santa Cruz County, CA"	"06087"	2434	273213	8.91	56961	42.73	30.72	38.68	3344.34	26.55	12.86
	"Shasta County, CA"	"06089"	1903	180080	10.57	31421	60.56	28.57	38.60	3313.18	26.65	11.33
	"Solano County, CA"	"06095"	5065	447643	11.31	85844	59.00	29.68	38.64	3324.51	27.97	11.34
	"Sonoma County, CA"	"06097"	4395	494336	8.89	89517	49.10	30.78	38.80	3362.92	27.19	11.18
	"Stanislaus County, CA"	"06099"	7402	550660	13.44	111436	66.42	28.80	38.59	3336.96	28.57	13.53
	"Tulare County, CA"	"06107"	6714	466195	14.40	96782	69.37	28.06	38.48	3297.13	28.60	11.96
	"Ventura County, CA"	"06111"	8736	846006	10.33	162325	53.82	30.24	38.56	3302.10	27.19	12.31
	"Yolo County, CA"	"06113"	2057	220500	9.33	55583	37.01	30.17	38.69	3366.58	27.35	12.22
	"Unidentified Counties, CA"	"06999"	10147	940173	10.79	153662	66.03	28.74	38.69	3317.15	27.51	11.36
	"Adams County, CO"	"08001"	6204	517421	11.99	111132	55.83	28.77	38.49	3185.18	27.58	10.35
	"Arapahoe County, CO"	"08005"	7467	656590	11.37	136136	54.85	29.98	38.47	3177.57	26.51	9.95
	"Boulder County, CO"	"08013"	2509	326196	7.69	69688	36.00	31.48	38.75	3232.12	25.45	10.61
	"Denver County, CO"	"08031"	9389	727211	12.91	180490	52.02	30.47	38.55	3163.31	25.93	10.41
	"Douglas County, CO"	"08035"	3472	351154	9.89	67462	51.47	31.46	38.50	3197.53	25.15	11.11
	"El Paso County, CO"	"08041"	9037	720403	12.54	148322	60.93	28.44	38.33	3154.15	26.94	9.84
	"Jefferson County, CO"	"08059"	5713	582881	9.80	112490	50.79	31.08	38.65	3203.76	25.50	10.13
	"Larimer County, CO"	"08069"	3141	356899	8.80	77780	40.38	30.05	38.51	3210.13	25.96	12.48
	"Mesa County, CO"	"08077"	1580	154210	10.25	28490	55.46	28.11	38.46	3198.97	27.03	11.47
	"Pueblo County, CO"	"08101"	1802	168424	10.70	31416	57.36	27.50	38.41	3134.88	27.84	11.27
	"Weld County, CO"	"08123"	4384	324492	13.51	67018	65.42	28.56	38.56	3216.15	27.28	11.23
	"Unidentified Counties, CO"	"08999"	8171	872855	9.36	148717	54.94	29.21	38.51	3164.94	26.58	10.69
	"Fairfield County, CT"	"09001"	9494	943332	10.06	175102	54.22	31.66	38.57	3288.94	25.86	12.74
	"Hartford County, CT"	"09003"	9021	891720	10.12	170164	53.01	30.28	38.38	3254.33	27.18	12.07
	"Litchfield County, CT"	"09005"	1380	180333	7.65	28362	48.66	30.77	38.53	3341.36	27.07	12.97
	"Middlesex County, CT"	"09007"	1288	162436	7.93	28170	45.72	31.29	38.66	3333.10	26.73	13.29
	"New Haven County, CT"	"09009"	8391	854757	9.82	167615	50.06	30.09	38.55	3274.31	27.34	13.25
	"New London County, CT"	"09011"	2482	265206	9.36	47259	52.52	29.73	38.62	3320.67	27.56	12.70
	"Tolland County, CT"	"09013"	1177	150721	7.81	32152	36.61	31.21	38.46	3279.50	26.56	12.48
	"Windham County, CT"	"09015"	1025	116782	8.78	21748	47.13	28.90	38.39	3287.61	28.44	12.00
	"Kent County, DE"	"10001"	2064	180786	11.42	35738	57.75	28.55	38.38	3249.30	28.57	10.21
	"New Castle County, DE"	"10003"	6153	558753	11.01	111305	55.28	29.65	38.34	3225.29	28.10	10.96
	"Sussex County, DE"	"10005"	2345	234225	10.01	33004	71.05	28.44	38.23	3241.69	27.90	10.34
	"District of Columbia, DC"	"11001"	9079	705749	12.86	190372	47.69	31.06	38.49	3201.45	26.25	10.61
	"Alachua County, FL"	"12001"	2701	269043	10.04	68359	39.51	29.53	38.31	3199.70	27.35	10.54
	"Bay County, FL"	"12005"	1990	174705	11.39	30778	64.66	27.96	38.33	3286.88	27.53	9.94
	"Brevard County, FL"	"12009"	5185	601942	8.61	95057	54.55	29.10	38.38	3268.80	27.15	8.84
	"Broward County, FL"	"12011"	21725	1952778	11.13	373172	58.22	30.60	38.24	3194.88	26.53	10.50
	"Charlotte County, FL"	"12015"	951	188910	5.03	20051	47.43	28.20	38.53	3276.39	27.69	10.53
	"Citrus County, FL"	"12017"	1028	149657	6.87	17745	57.93	27.22	38.41	3251.82	27.30	10.34
	"Clay County, FL"	"12019"	2235	219252	10.19	41059	54.43	28.44	38.26	3268.14	27.64	10.51
	"Collier County, FL"	"12021"	3117	384902	8.10	52773	59.06	29.38	38.36	3279.06	27.23	10.86
	"Duval County, FL"	"12031"	13034	957755	13.61	199005	65.50	28.54	38.25	3202.55	27.79	9.64
	"Escambia County, FL"	"12033"	3871	318316	12.16	62101	62.33	27.62	38.11	3185.18	27.78	10.52
	"Hernando County, FL"	"12053"	1565	193920	8.07	30083	52.02	27.84	38.27	3230.11	27.27	10.85
	"Hillsborough County, FL"	"12057"	17174	1471968	11.67	308065	55.75	29.13	38.38	3228.08	27.14	10.48
	"Indian River County, FL"	"12061"	1260	159923	7.88	21149	59.58	28.76	38.28	3239.77	27.97	12.35
	"Lake County, FL"	"12069"	3429	367118	9.34	58771	58.35	28.52	38.32	3282.71	27.47	9.93
	"Lee County, FL"	"12071"	6928	770577	8.99	118644	58.39	28.62	38.35	3241.50	27.35	10.00
	"Leon County, FL"	"12073"	2968	293582	10.11	76873	38.61	28.80	38.37	3192.54	27.20	10.93
	"Manatee County, FL"	"12081"	3481	403253	8.63	61311	56.78	28.68	38.44	3269.29	27.44	11.13
	"Marion County, FL"	"12083"	3552	365579	9.72	56688	62.66	27.60	38.46	3247.25	27.92	9.71
	"Martin County, FL"	"12085"	1207	161000	7.50	20746	58.18	29.78	38.50	3280.03	26.79	11.03
	"Miami-Dade County, FL"	"12086"	30258	2716940	11.14	527553	57.36	30.36	38.31	3224.86	26.00	11.78
	"Okaloosa County, FL"	"12091"	2706	210738	12.84	39724	68.12	28.45	38.18	3269.62	26.97	11.78
	"Orange County, FL"	"12095"	16622	1393452	11.93	315547	52.68	29.72	38.29	3222.98	26.65	9.36
	"Osceola County, FL"	"12097"	4440	375751	11.82	79192	56.07	28.83	38.34	3245.10	27.07	11.69
	"Palm Beach County, FL"	"12099"	14738	1496770	9.85	252646	58.33	30.12	38.31	3203.95	26.63	11.16
	"Pasco County, FL"	"12101"	5092	553947	9.19	95215	53.48	28.86	38.37	3266.43	27.07	10.53
	"Pinellas County, FL"	"12103"	7895	974996	8.10	159083	49.63	29.56	38.48	3266.75	26.46	10.86
	"Polk County, FL"	"12105"	8196	724777	11.31	135493	60.49	27.95	38.34	3243.95	28.52	10.70
	"St. Johns County, FL"	"12109"	2208	264672	8.34	44982	49.09	30.89	38.53	3342.90	26.01	11.19
	"St. Lucie County, FL"	"12111"	3107	328297	9.46	53874	57.67	28.74	38.47	3257.09	28.15	10.32
	"Santa Rosa County, FL"	"12113"	1947	184313	10.56	32750	59.45	28.73	38.15	3283.09	27.05	11.61
	"Sarasota County, FL"	"12115"	2885	433742	6.65	54261	53.17	29.45	38.48	3297.23	26.34	11.83
	"Seminole County, FL"	"12117"	4646	471826	9.85	95750	48.52	30.04	38.43	3274.79	26.70	10.00
	"Volusia County, FL"	"12127"	4824	553284	8.72	90132	53.52	28.36	38.46	3259.21	26.99	11.75
	"Unidentified Counties, FL"	"12999"	13037	1390052	9.38	200642	64.98	27.51	38.25	3233.35	28.17	10.33
	"Bartow County, GA"	"13015"	1299	107738	12.06	20939	62.04	27.43	38.41	3296.35	28.29	12.20
	"Bibb County, GA"	"13021"	2120	153159	13.84	32003	66.24	26.93	37.95	3103.33	28.91	11.88
	"Carroll County, GA"	"13045"	1619	119992	13.49	26078	62.08	27.06	38.57	3277.71	28.40	10.16
	"Chatham County, GA"	"13051"	3677	289430	12.70	62917	58.44	28.42	38.09	3155.44	28.47	9.59
	"Cherokee County, GA"	"13057"	2619	258773	10.12	49636	52.76	29.86	38.30	3291.34	26.82	11.85
	"Clarke County, GA"	"13059"	1299	128331	10.12	37441	34.69	28.60	38.15	3184.30	27.29	11.19
	"Clayton County, GA"	"13063"	3814	292256	13.05	67284	56.69	27.86	38.16	3097.85	28.64	9.59
	"Cobb County, GA"	"13067"	8869	760141	11.67	161012	55.08	30.36	38.39	3233.50	26.82	12.90
	"Columbia County, GA"	"13073"	1658	156714	10.58	31810	52.12	29.58	38.41	3301.67	26.98	11.11
	"Coweta County, GA"	"13077"	1668	148509	11.23	28943	57.63	28.73	38.20	3224.88	27.70	11.74
	"DeKalb County, GA"	"13089"	10327	759297	13.60	169646	60.87	29.80	38.38	3165.52	26.79	10.89
	"Douglas County, GA"	"13097"	1634	146343	11.17	30991	52.72	28.77	38.17	3169.67	28.20	12.07
	"Fayette County, GA"	"13113"	888	114421	7.76	19878	44.67	30.43	38.27	3201.72	26.71	11.99
	"Forsyth County, GA"	"13117"	2206	244252	9.03	47399	46.54	31.22	38.37	3276.48	26.22	13.08
	"Fulton County, GA"	"13121"	12590	1063937	11.83	244848	51.42	30.20	38.33	3157.65	26.50	11.16
	"Gwinnett County, GA"	"13135"	11034	936250	11.79	197374	55.90	29.95	38.29	3210.06	26.94	12.26
	"Hall County, GA"	"13139"	2573	204441	12.59	39243	65.57	28.02	38.34	3282.50	27.72	11.89
	"Henry County, GA"	"13151"	2758	234561	11.76	49669	55.53	28.73	38.14	3156.95	28.51	11.13
	"Houston County, GA"	"13153"	1985	157863	12.57	33029	60.10	27.83	38.21	3232.45	28.61	11.24
	"Lowndes County, GA"	"13185"	1683	117406	14.33	27634	60.90	27.09	38.15	3192.72	28.71	11.73
	"Muscogee County, GA"	"13215"	2816	195769	14.38	41089	68.53	27.41	38.06	3134.11	26.49	11.23
	"Paulding County, GA"	"13223"	1740	168667	10.32	35130	49.53	28.87	38.24	3275.32	28.20	13.67
	"Richmond County, GA"	"13245"	2977	202518	14.70	42965	69.29	27.33	38.16	3116.02	28.18	10.44
	"Whitfield County, GA"	"13313"	1253	104628	11.98	20284	61.77	26.93	38.32	3303.56	29.40	12.03
	"Unidentified Counties, GA"	"13999"	41265	3552027	11.62	662777	62.26	27.08	38.12	3188.69	28.57	11.39
	"Hawaii County, HI"	"15001"	2056	201513	10.20	34641	59.35	29.03	38.39	3210.49	27.37	10.34
	"Honolulu County, HI"	"15003"	12129	974563	12.45	185337	65.44	29.76	38.33	3222.64	26.93	9.96
	"Maui County, HI"	"15009"	1832	167417	10.94	30372	60.32	29.87	38.54	3216.31	26.34	12.39
	"Unidentified Counties, HI"	"15999"	780	72379	10.78	12518	62.31	29.64	38.58	3209.53	25.87	12.02
	"Ada County, ID"	"16001"	4929	481587	10.23	96810	50.91	29.90	38.61	3325.10	26.17	12.45
	"Bonneville County, ID"	"16019"	1834	119062	15.40	23777	77.13	27.91	38.36	3210.13	27.54	11.75
	"Canyon County, ID"	"16027"	3046	229849	13.25	46533	65.46	27.72	38.49	3319.35	27.84	10.93
	"Kootenai County, ID"	"16055"	1861	165697	11.23	29879	62.28	28.57	38.62	3356.56	26.25	12.71
	"Unidentified Counties, ID"	"16999"	10393	790870	13.14	147822	70.31	27.68	38.53	3273.93	27.30	11.48
	"Champaign County, IL"	"17019"	2230	209689	10.63	52182	42.74	29.01	38.22	3245.22	28.05	12.55
	"Cook County, IL"	"17031"	59031	5150233	11.46	1090446	54.13	30.22	38.33	3224.84	27.18	11.00
	"DeKalb County, IL"	"17037"	1143	104897	10.90	24775	46.14	28.64	38.42	3350.52	28.68	12.31
	"DuPage County, IL"	"17043"	9988	922921	10.82	174211	57.33	31.42	38.45	3308.22	26.29	12.17
	"Kane County, IL"	"17089"	5976	532403	11.22	101665	58.78	29.71	38.29	3286.05	27.99	11.37
	"Kankakee County, IL"	"17091"	1256	109862	11.43	21383	58.74	28.13	38.32	3259.73	28.73	11.00
	"Kendall County, IL"	"17093"	1548	128990	12.00	27164	56.99	30.42	38.28	3316.06	28.04	11.95
	"Lake County, IL"	"17097"	6986	696535	10.03	129004	54.15	30.33	38.34	3275.14	27.47	11.66
	"LaSalle County, IL"	"17099"	1130	108669	10.40	18332	61.64	28.42	38.33	3270.88	27.98	12.55
	"McHenry County, IL"	"17111"	3063	307774	9.95	55514	55.18	30.57	38.37	3340.59	27.68	11.90
	"McLean County, IL"	"17113"	1769	171517	10.31	40305	43.89	29.36	38.37	3287.05	27.81	11.94
	"Macon County, IL"	"17115"	1253	104009	12.05	19178	65.34	27.26	38.08	3199.91	28.71	11.07
	"Madison County, IL"	"17119"	2747	262966	10.45	49383	55.63	28.52	38.30	3266.32	28.44	10.89
	"Peoria County, IL"	"17143"	2354	179179	13.14	34556	68.12	28.04	38.24	3249.55	28.50	11.11
	"Rock Island County, IL"	"17161"	1626	141879	11.46	25386	64.05	27.99	38.31	3264.84	28.38	11.88
	"St. Clair County, IL"	"17163"	3008	259686	11.58	49891	60.29	28.34	38.03	3164.11	28.87	10.24
	"Sangamon County, IL"	"17167"	2099	194672	10.78	36585	57.37	28.58	38.08	3181.90	28.60	11.46
	"Tazewell County, IL"	"17179"	1350	131803	10.24	23236	58.10	28.45	38.56	3374.05	28.21	12.03
	"Will County, IL"	"17197"	7216	690743	10.45	133694	53.97	30.14	38.29	3277.39	27.56	11.35
	"Winnebago County, IL"	"17201"	3448	282572	12.20	52341	65.88	27.88	38.26	3246.64	28.86	13.03
	"Unidentified Counties, IL"	"17999"	20907	1980822	10.55	338020	61.85	27.75	38.29	3288.89	28.77	11.90
	"Allen County, IN"	"18003"	5302	379299	13.98	76053	69.71	27.93	38.45	3245.26	27.99	11.40
	"Clark County, IN"	"18019"	1411	118302	11.93	22762	61.99	27.93	38.35	3282.71	28.34	11.34
	"Delaware County, IN"	"18035"	1052	114135	9.22	25779	40.81	27.02	38.38	3273.03	28.52	10.84
	"Elkhart County, IN"	"18039"	3032	206341	14.69	39104	77.54	27.30	38.68	3302.04	27.97	11.28
	"Hamilton County, IN"	"18057"	3683	338011	10.90	67618	54.47	31.18	38.42	3326.27	26.48	12.20
	"Hendricks County, IN"	"18063"	1656	170311	9.72	32879	50.37	29.58	38.39	3352.91	27.59	12.30
	"Johnson County, IN"	"18081"	1852	158167	11.71	31205	59.35	28.57	38.33	3298.69	28.38	12.25
	"Lake County, IN"	"18089"	5682	485493	11.70	92969	61.12	28.30	38.44	3258.28	28.20	10.81
	"La Porte County, IN"	"18091"	1175	109888	10.69	18181	64.63	27.33	38.40	3268.48	28.88	10.57
	"Madison County, IN"	"18095"	1415	129569	10.92	23152	61.12	27.03	38.22	3261.55	28.52	11.15
	"Marion County, IN"	"18097"	14048	964582	14.56	212864	66.00	28.27	38.27	3209.58	28.37	10.68
	"Monroe County, IN"	"18105"	1084	148431	7.30	39430	27.49	28.88	38.56	3331.92	27.64	13.33
	"Porter County, IN"	"18127"	1643	170389	9.64	32467	50.61	28.93	38.49	3338.37	28.29	10.22
	"St. Joseph County, IN"	"18141"	3436	271826	12.64	55417	62.00	27.97	38.44	3257.88	27.61	11.10
	"Tippecanoe County, IN"	"18157"	2067	195732	10.56	47137	43.85	28.05	38.39	3256.66	27.55	10.75
	"Vanderburgh County, IN"	"18163"	2175	181451	11.99	35951	60.50	27.46	38.00	3204.14	27.72	12.20
	"Vigo County, IN"	"18167"	1188	107038	11.10	21309	55.75	26.98	38.03	3212.32	28.56	11.20
	"Unidentified Counties, IN"	"18999"	28958	2483254	11.66	436177	66.39	27.37	38.39	3292.92	28.22	11.47
	"Black Hawk County, IA"	"19013"	1645	131228	12.54	27770	59.24	28.57	38.54	3320.20	28.12	11.43
	"Johnson County, IA"	"19103"	1738	151140	11.50	38489	45.16	30.59	38.54	3334.24	26.46	11.32
	"Linn County, IA"	"19113"	2738	226706	12.08	44639	61.34	28.87	38.37	3314.95	27.69	12.38
	"Polk County, IA"	"19153"	6551	490161	13.36	101739	64.39	29.16	38.44	3321.52	27.40	11.93
	"Scott County, IA"	"19163"	2086	172943	12.06	33030	63.15	28.70	38.35	3316.16	27.73	12.77
	"Woodbury County, IA"	"19193"	1483	103107	14.38	19786	74.95	27.83	38.34	3278.32	27.69	11.68
	"Unidentified Counties, IA"	"19999"	21408	1879785	11.39	328830	65.10	28.42	38.45	3353.36	27.95	11.72
	"Douglas County, KS"	"20045"	1090	122259	8.92	31490	34.61	29.45	38.52	3318.80	26.96	11.76
	"Johnson County, KS"	"20091"	6948	602401	11.53	119505	58.14	30.81	38.45	3328.19	26.15	11.73
	"Sedgwick County, KS"	"20173"	6737	516042	13.06	102846	65.51	27.90	38.26	3259.90	27.42	10.72
	"Shawnee County, KS"	"20177"	2112	176875	11.94	32894	64.21	27.68	38.31	3313.99	28.43	10.97
	"Wyandotte County, KS"	"20209"	2610	165429	15.78	33522	77.86	27.56	38.26	3212.25	28.53	10.24
	"Unidentified Counties, KS"	"20999"	15898	1330308	11.95	241634	65.79	27.64	38.34	3289.86	28.08	10.88
	"Boone County, KY"	"21015"	1664	133581	12.46	25464	65.35	28.97	38.35	3321.58	27.29	11.13
	"Fayette County, KY"	"21067"	3829	323152	11.85	73561	52.05	29.05	38.26	3226.87	26.90	12.29
	"Hardin County, KY"	"21093"	1342	110958	12.09	21099	63.60	27.48	38.28	3287.93	29.20	10.42
	"Jefferson County, KY"	"21111"	9560	766757	12.47	152285	62.78	28.75	38.27	3235.02	27.24	12.06
	"Kenton County, KY"	"21117"	2205	166998	13.20	32792	67.24	28.69	38.20	3241.80	27.21	10.92
	"Warren County, KY"	"21227"	1738	132896	13.08	30392	57.19	28.02	38.31	3288.48	27.32	10.70
	"Unidentified Counties, KY"	"21999"	32731	2833331	11.55	512430	63.87	26.87	38.14	3254.79	28.44	11.96
	"Ascension Parish, LA"	"22005"	1656	126604	13.08	25848	64.07	28.77	38.19	3224.56	28.19	11.07
	"Bossier Parish, LA"	"22015"	1654	127039	13.02	25614	64.57	27.72	37.88	3169.32	27.98	11.46
	"Caddo Parish, LA"	"22017"	3151	240204	13.12	47134	66.85	27.15	37.69	3067.11	28.24	11.14
	"Calcasieu Parish, LA"	"22019"	2970	203436	14.60	40574	73.20	27.28	38.02	3174.21	27.54	9.97
	"East Baton Rouge Parish, LA"	"22033"	5730	440059	13.02	98833	57.98	28.09	38.09	3135.23	28.11	10.46
	"Jefferson Parish, LA"	"22051"	5755	432493	13.31	82614	69.66	28.65	38.10	3173.13	27.90	12.12
	"Lafayette Parish, LA"	"22055"	3203	244390	13.11	51792	61.84	28.25	38.23	3227.97	27.08	14.17
	"Livingston Parish, LA"	"22063"	1765	140789	12.54	28751	61.39	27.70	38.31	3259.51	28.51	11.18
	"Orleans Parish, LA"	"22071"	4664	390144	11.95	87570	53.26	29.31	38.09	3116.85	27.35	11.38
	"Ouachita Parish, LA"	"22073"	2052	153279	13.39	31586	64.97	26.99	37.77	3089.46	29.57	11.70
	"Rapides Parish, LA"	"22079"	1638	129648	12.63	24710	66.29	26.90	37.97	3134.80	27.97	10.86
	"St. Tammany Parish, LA"	"22103"	2859	260419	10.98	47540	60.14	29.24	38.18	3243.46	26.92	11.37
	"Tangipahoa Parish, LA"	"22105"	1882	134758	13.97	27800	67.70	27.16	38.02	3167.70	29.21	10.93
	"Terrebonne Parish, LA"	"22109"	1373	110461	12.43	21538	63.75	27.27	38.00	3196.30	29.48	12.60
	"Unidentified Counties, LA"	"22999"	18589	1515071	12.27	280545	66.26	26.89	37.99	3157.20	28.71	11.71
	"Androscoggin County, ME"	"23001"	1162	108277	10.73	19720	58.92	28.57	38.69	3303.97	28.96	11.95
	"Cumberland County, ME"	"23005"	2680	295003	9.08	56154	47.73	31.30	38.62	3355.54	26.54	13.81
	"Kennebec County, ME"	"23011"	1109	122302	9.07	21247	52.20	28.89	38.57	3341.08	28.82	13.16
	"Penobscot County, ME"	"23019"	1247	152148	8.20	28326	44.02	28.82	38.42	3329.15	28.11	13.83
	"York County, ME"	"23031"	1794	207641	8.64	35579	50.42	29.81	38.50	3320.13	27.85	12.96
	"Unidentified Counties, ME"	"23999"	3787	458841	8.25	71702	52.82	28.45	38.60	3334.39	28.33	13.06
	"Anne Arundel County, MD"	"24003"	6821	579234	11.78	112092	60.85	30.50	38.47	3296.36	26.92	11.19
	"Baltimore County, MD"	"24005"	9625	827370	11.63	163377	58.91	30.01	38.36	3235.47	27.43	10.85
	"Carroll County, MD"	"24013"	1653	168447	9.81	29446	56.14	30.34	38.50	3372.69	26.86	10.75
	"Cecil County, MD"	"24015"	1166	102855	11.34	18766	62.13	28.62	38.64	3362.41	28.37	10.74
	"Charles County, MD"	"24017"	1873	163257	11.47	32148	58.26	29.39	38.31	3210.32	28.35	9.99
	"Frederick County, MD"	"24021"	2934	259547	11.30	49680	59.06	30.45	38.49	3314.39	26.72	12.11
